B,Mining and quarrying,2016,44.829268292682926,291.80161738963415,0.8597560975609756,0.7073170731707317,0,0.08536585365853659,0.06097560975609756,0.3597560975609756,0.07317073170731707,0.18902439024390244,0.1951219512195122,0.03658536585365853,0,0,0.0975609756097561,0.3048780487804878,0.2682926829268293,0.2195121951219512,0.1097560975609756,0,0.9939024390243902,0,0,0,0.24390243902439024,0.7560975609756098,0,0,0,0,0,0,0.5426829268292683,0.07317073170731707,0.3353658536585366,0.9817073170731708,0.01829268292682926,0.01829268292682926,0,0,0,0.00609756097560975,0.02439024390243902,0.04878048780487805,0,0.1951219512195122,0,0,0.04268292682926829,0.01219512195121951,0.00609756097560975,0.1524390243902439,0.01219512195121951,0.03048780487804878,0.00609756097560975,0,0,0.00609756097560975,0.03658536585365853,0.00609756097560975,0,0,0,0.00609756097560975,0,0,0.04268292682926829,0.0548780487804878,0,0.0548780487804878,0,0.14634146341463414,0,0.06707317073170732,0.01219512195121951,0,0.01219512195121951,0,0,0,164,All occupations,Sum all sectors,Both sexes,All employees,69170,60910,49570,81190,55585,54259,59540,52990,40410,72920,55585,54259,5890,1480,0,8320,55585,54259,3750,780,0,4020,55585,54259,3850,1010,0,5360,55585,54259,44.4,45,36,53,55585,54259,34.5,37.5,33.3,37.5,55585,54259
S,Other service activities,2016,43.79888268156424,304.14356423597764,0.3463687150837989,0.3687150837988827,0,0.1564245810055866,0.0223463687150838,0.39664804469273746,0.03910614525139665,0.25139664804469275,0.12849162011173185,0,0.00558659217877095,0.03910614525139665,0.18435754189944137,0.21787709497206703,0.2011173184357542,0.24022346368715083,0.10614525139664804,0.0111731843575419,0.8715083798882681,0.1005586592178771,0,0.0223463687150838,0.15083798882681565,0.6815642458100558,0.1340782122905028,0.02793296089385474,0,0.00558659217877095,0,0,0.2569832402234637,0.0670391061452514,0.3240223463687151,0.7597765363128491,0.07262569832402235,0.0111731843575419,0,0,0,0.1005586592178771,0.00558659217877095,0.00558659217877095,0.0223463687150838,0.0111731843575419,0,0.0111731843575419,0.07262569832402235,0.0223463687150838,0.1005586592178771,0.00558659217877095,0.0111731843575419,0.0111731843575419,0.05586592178770949,0.0111731843575419,0.02793296089385474,0.0111731843575419,0.01675977653631285,0,0.3687150837988827,0.00558659217877095,0.0111731843575419,0,0,0,0,0,0.0111731843575419,0.00558659217877095,0.0111731843575419,0.0335195530726257,0,0.00558659217877095,0.00558659217877095,0.02793296089385474,0,0,0,0,179,All occupations,Sum all sectors,Both sexes,All employees,40570,37360,30000,47680,50563,37435,39670,36540,29220,46730,50563,37435,260,0,0,0,50563,37435,650,0,0,0,50563,37435,180,0,0,0,50563,37435,42.5,43,31,53,50563,37435,27.7,37.5,17.8,37.5,50563,37435
M,"Professional, scientific and technical activities",2016,44.09289617486339,300.3479979638616,0.6193078324225865,0.395264116575592,0,0.04189435336976321,0.03642987249544627,0.18579234972677597,0.04007285974499089,0.3224043715846995,0.3224043715846995,0.04735883424408015,0.00364298724954462,0.00546448087431694,0.16393442622950818,0.2768670309653916,0.2204007285974499,0.19672131147540983,0.13114754098360656,0.00546448087431694,0.9344262295081968,0.00728597449908925,0,0.05100182149362477,0.10018214936247724,0.7741347905282332,0.10746812386156648,0.01821493624772313,0,0,0,0,0.1766848816029144,0.08743169398907104,0.5045537340619308,0.8506375227686703,0.0273224043715847,0.00182149362477231,0,0,0,0.00364298724954462,0.03096539162112932,0.03278688524590164,0.00182149362477231,0.21129326047358837,0.02185792349726776,0.00546448087431694,0.17304189435336975,0.03642987249544627,0.06557377049180328,0.12021857923497269,0.01821493624772313,0.14389799635701275,0.02367941712204007,0.00910746812386156,0.01821493624772313,0.00728597449908925,0.02550091074681238,0,0.00546448087431694,0.00728597449908925,0.00182149362477231,0,0,0.00182149362477231,0.00364298724954462,0.00910746812386156,0.00546448087431694,0.00364298724954462,0,0.00546448087431694,0,0.00182149362477231,0.00182149362477231,0,0.00182149362477231,0,0,0,549,All occupations,Sum all sectors,Both sexes,All employees,54120,49170,39720,63380,131620,115123,52300,48080,39130,61750,131620,115123,320,0,0,0,131620,115123,1490,0,0,0,131620,115123,950,0,0,0,131620,115123,42.7,42,33,52,131620,115123,33,37.5,37.5,37.5,131620,115123
O,Public administration and defence; compulsory social security,2016,45.77076923076923,285.3628110804154,0.5246153846153846,0.816923076923077,0,0.06615384615384616,0.04307692307692307,0.2123076923076923,0.05538461538461538,0.39692307692307693,0.22,0.00615384615384615,0,0.01076923076923076,0.13076923076923078,0.19076923076923075,0.2784615384615385,0.28,0.1046153846153846,0.00461538461538461,0.01384615384615384,0.3030769230769231,0.056923076923076923,0.6246153846153846,0.10307692307692308,0.8907692307692308,0.00461538461538461,0,0,0,0,0.00153846153846153,0.00923076923076923,0.00153846153846153,0.00153846153846153,0.926153846153846,0.06923076923076923,0.01076923076923076,0.03692307692307692,0.01846153846153846,0.01692307692307692,0.01692307692307692,0.08615384615384615,0.03076923076923077,0.00153846153846153,0.03076923076923077,0.00615384615384615,0.01538461538461538,0.24615384615384617,0.02307692307692307,0.09076923076923075,0.03384615384615384,0.00615384615384615,0.18,0.00615384615384615,0.00923076923076923,0.02615384615384615,0.00615384615384615,0.0123076923076923,0.00461538461538461,0.00615384615384615,0,0.01384615384615384,0.03538461538461538,0.00307692307692307,0,0.00153846153846153,0.00769230769230769,0,0.00153846153846153,0,0,0,0.00461538461538461,0.00615384615384615,0,0.00153846153846153,0.00153846153846153,0,0.00153846153846153,650,All occupations,Sum all sectors,Both sexes,All employees,46790,43990,37450,52500,171347,149961,44940,42200,36260,50450,171347,149961,1830,0,0,660,171347,149961,20,0,0,0,171347,149961,920,0,0,750,171347,149961,45,46,36,54,171347,149961,32.8,37.5,37.5,37.5,171347,149961
L,Real estate activities,2016,47.35294117647059,295.8755980822059,0.6617647058823529,0.2647058823529412,0,0.16176470588235295,0.02941176470588235,0.29411764705882354,0.0588235294117647,0.39705882352941174,0.0588235294117647,0,0,0.01470588235294117,0.1176470588235294,0.19117647058823528,0.2647058823529412,0.2058823529411765,0.17647058823529413,0.02941176470588235,0.9852941176470588,0.01470588235294117,0,0,0.1176470588235294,0.7352941176470589,0.1176470588235294,0.02941176470588235,0,0,0,0,0.19117647058823528,0.04411764705882353,0.5294117647058824,0.8235294117647058,0.01470588235294117,0.01470588235294117,0,0,0,0.01470588235294117,0.0588235294117647,0,0,0.01470588235294117,0,0,0.07352941176470588,0,0,0.01470588235294117,0.01470588235294117,0.4411764705882353,0.01470588235294117,0,0.04411764705882353,0,0.08823529411764706,0,0.1323529411764706,0.02941176470588235,0,0,0,0,0.01470588235294117,0.01470588235294117,0,0,0,0,0,0.01470588235294117,0,0,0,0,0,0,68,All occupations,Sum all sectors,Both sexes,All employees,52780,41780,33190,59050,26353,19798,48350,40590,32500,55000,26353,19798,760,0,0,0,26353,19798,3670,0,0,0,26353,19798,170,0,0,0,26353,19798,44.9,45,34,55,26353,19798,28.1,37.5,16.9,37.5,26353,19798
H,Transportation and storage,2016,45.904862579281186,278.65508842033825,0.8224101479915433,0.49682875264270615,0,0.26004228329809725,0.08879492600422834,0.42071881606765327,0.04439746300211417,0.1416490486257928,0.040169133192389,0.00422832980972515,0,0.01057082452431289,0.11205073995771672,0.21987315010570824,0.2642706131078224,0.2558139534883721,0.13107822410147993,0.00634249471458773,0.970401691331924,0.00634249471458773,0,0.01902748414376321,0.13530655391120508,0.7716701902748414,0.080338266384778,0.01268498942917547,0,0,0,0,0.5348837209302325,0.06553911205073996,0.24735729386892177,0.8773784355179705,0.03171247357293869,0.00422832980972515,0,0,0,0.00422832980972515,0.01479915433403805,0.05708245243128964,0,0.00211416490486257,0,0,0.03171247357293869,0.00845665961945031,0,0.07822410147991543,0,0.05496828752642706,0.00211416490486257,0.00211416490486257,0.02114164904862579,0.03594080338266384,0.08456659619450317,0.03805496828752643,0.05708245243128964,0.00422832980972515,0,0.01057082452431289,0,0,0.00211416490486257,0.01057082452431289,0,0.00211416490486257,0.00211416490486257,0.00211416490486257,0,0.4376321353065539,0.01057082452431289,0,0.01268498942917547,0.00211416490486257,0,0.00634249471458773,473,All occupations,Sum all sectors,Both sexes,All employees,43620,37410,32700,48180,137411,117796,40950,35120,31230,45240,137411,117796,1780,0,0,1880,137411,117796,890,0,0,0,137411,117796,1230,0,0,980,137411,117796,44.1,45,34,54,137411,117796,32,37.5,33.6,37.5,137411,117796
00.0,Unspecified or unidentifiable industry,2016,35.041666666666664,351.9555089766667,0.7083333333333334,0.16666666666666666,0,0.4583333333333333,0.04166666666666666,0.25,0.04166666666666666,0.16666666666666666,0.04166666666666666,0,0,0.125,0.2916666666666667,0.2916666666666667,0.125,0.08333333333333333,0.08333333333333333,0,0.875,0.04166666666666666,0,0.04166666666666666,0.04166666666666666,0.7083333333333334,0.16666666666666666,0.04166666666666666,0,0.04166666666666666,0,0,0.2916666666666667,0.08333333333333333,0.20833333333333337,0.5833333333333334,0.16666666666666666,0.3333333333333333,0,0,0,0.04166666666666666,0,0,0,0,0,0,0.04166666666666666,0,0.04166666666666666,0.04166666666666666,0,0.08333333333333333,0.08333333333333333,0,0,0,0,0,0.04166666666666666,0.08333333333333333,0,0.04166666666666666,0,0,0,0.04166666666666666,0,0.04166666666666666,0,0,0,0,0.08333333333333333,0,0,0,0,0,24,All occupations,Sum all sectors,Both sexes,All employees,50210,38500,30560,52270,1439,814,48050,38160,30360,50000,1439,814,60,0,0,0,1439,814,2100,0,0,0,1439,814,120,0,0,0,1439,814,43.7,43,33,53,1439,814,21.2,20,4.5,37.5,1439,814
E,"Water supply; sewerage, waste management and remediation activities",2016,45.48936170212766,294.66950669957447,0.7659574468085106,0.574468085106383,0,0.14893617021276595,0.1276595744680851,0.425531914893617,0.0425531914893617,0.14893617021276595,0.10638297872340426,0,0,0,0.1276595744680851,0.2127659574468085,0.2978723404255319,0.2765957446808511,0.0851063829787234,0,0.46808510638297873,0.5319148936170213,0,0,0.1276595744680851,0.8723404255319149,0,0,0,0,0,0,0.1914893617021277,0.0425531914893617,0.1702127659574468,0.9787234042553192,0,0,0,0,0,0,0.0851063829787234,0.0425531914893617,0,0.02127659574468085,0,0,0.0425531914893617,0,0.02127659574468085,0.10638297872340426,0.02127659574468085,0.06382978723404255,0,0,0.0425531914893617,0.02127659574468085,0.02127659574468085,0,0.02127659574468085,0,0,0,0,0,0.02127659574468085,0.0425531914893617,0,0,0,0,0,0.06382978723404255,0,0,0.02127659574468085,0,0,0.3404255319148936,47,All occupations,Sum all sectors,Both sexes,All employees,40580,36840,32480,45020,15716,14010,39640,36150,32130,44170,15716,14010,480,0,0,80,15716,14010,470,0,0,0,15716,14010,1940,330,0,2630,15716,14010,44.5,45,35,54,15716,14010,33.4,37.5,37.5,37.5,15716,14010
G,Wholesale and retail trade; repair of motor vehicles and motorcycles,2016,39.96299411269975,304.23937580295205,0.552565180824222,0.24558452481076537,8.410428931875525e-4,0.25735912531539107,0.08410428931875526,0.4112699747687132,0.03952901597981497,0.16904962153069805,0.02859545836837678,8.410428931875525e-4,0.00841042893187552,0.07232968881412952,0.2430613961312027,0.19259882253994953,0.2220353238015139,0.19428090832632464,0.07064760302775441,0.00504625735912531,0.9932716568544996,8.410428931875525e-4,0,0.0016820857863751,0.09671993271656856,0.8544995794785534,0.04541631623212783,0.0016820857863751,0,0.0016820857863751,0,0,0.4087468460891506,0.07569386038687972,0.4062237174095879,0.9108494533221194,0.03700588730025231,0.00336417157275021,0,0,0,0.0016820857863751,0.02270815811606391,0.00925147182506307,0.1286795626576955,0.00420521446593776,0.01009251471825063,0,0.02354920100925147,0.00672834314550042,0.00252312867956265,0.0159798149705635,0.01850294365012615,0.10933557611438184,0.00252312867956265,0.00252312867956265,0.0176619007569386,0.00841042893187552,0.06476030277544155,0,0.00588730025231286,0.400336417157275,0,8.410428931875525e-4,0.0016820857863751,8.410428931875525e-4,0.00252312867956265,0.09671993271656856,0.00252312867956265,0.00588730025231286,0.00756938603868797,0.00252312867956265,0,0.00841042893187552,0.00756938603868797,0,0.00252312867956265,8.410428931875525e-4,0,8.410428931875525e-4,1189,All occupations,Sum all sectors,Both sexes,All employees,39110,34740,29700,43680,361525,267164,37070,33390,28750,41510,361525,267164,510,0,0,150,361525,267164,1530,0,0,410,361525,267164,470,0,0,190,361525,267164,39.3,39,28,50,361525,267164,27.7,37.5,15,37.5,361525,267164
I,Accommodation and food service activities,2017,35.15261044176707,315.4697615410442,0.4819277108433735,0.1606425702811245,0.02008032128514056,0.2289156626506024,0.05622489959839357,0.4538152610441767,0.01606425702811245,0.2008032128514056,0.01204819277108433,0.00803212851405622,0.00401606425702811,0.11244979919678716,0.3413654618473896,0.20481927710843373,0.18875502008032127,0.11244979919678716,0.04016064257028112,0,0.9759036144578314,0.00401606425702811,0,0,0.17670682730923695,0.7429718875502008,0.07228915662650602,0.00401606425702811,0,0.00401606425702811,0,0,0.321285140562249,0.05622489959839357,0.43373493975903615,0.8072289156626506,0.10843373493975904,0.00401606425702811,0,0,0,0.00803212851405622,0.01204819277108433,0.00401606425702811,0.12048192771084336,0,0,0,0.01204819277108433,0.00401606425702811,0,0,0.00401606425702811,0.02811244979919678,0.02811244979919678,0,0.01204819277108433,0.05622489959839357,0,0,0.43775100401606426,0.10441767068273092,0,0.00401606425702811,0,0,0.00803212851405622,0,0,0,0.00803212851405622,0,0,0.02409638554216867,0.05220883534136546,0,0,0.06827309236947791,0,0,249,All occupations,Sum all sectors,Both sexes,All employees,30190,28360,25000,32460,105680,72498,29470,27600,24680,31500,105680,72498,510,0,0,590,105680,72498,210,0,0,0,105680,72498,190,0,0,40,105680,72498,33.8,31,24,42,105680,72498,25.3,34.1,11.3,37.5,105680,72498
N,Administrative and support service activities,2017,40.16058394160584,304.4565016091241,0.5936739659367397,0.3309002433090024,0.0024330900243309,0.2360097323600973,0.06082725060827251,0.3868613138686132,0.04866180048661801,0.1873479318734793,0.06569343065693431,0.0072992700729927,0.0048661800486618,0.0364963503649635,0.24330900243309003,0.26763990267639903,0.18248175182481752,0.1873479318734793,0.0827250608272506,0,0.8175182481751825,0.15571776155717762,0,0.0170316301703163,0.1630170316301703,0.781021897810219,0.04866180048661801,0.0048661800486618,0,0.0024330900243309,0,0,0.29927007299270075,0.06082725060827251,0.340632603406326,0.8150851581508516,0.12408759124087591,0.0121654501216545,0,0,0,0.0145985401459854,0.0316301703163017,0.0194647201946472,0.0121654501216545,0.0218978102189781,0.0024330900243309,0.0145985401459854,0.0389294403892944,0.0218978102189781,0.0072992700729927,0.04866180048661801,0.0048661800486618,0.1021897810218978,0.0072992700729927,0.0145985401459854,0.0218978102189781,0.0389294403892944,0.0364963503649635,0,0.08029197080291971,0.0535279805352798,0.0194647201946472,0.0827250608272506,0.0170316301703163,0.0024330900243309,0.0510948905109489,0.0121654501216545,0.0024330900243309,0.0170316301703163,0.0072992700729927,0.0072992700729927,0,0.0194647201946472,0.14841849148418493,0,0.0024330900243309,0.0024330900243309,0,0.0024330900243309,411,All occupations,Sum all sectors,Both sexes,All employees,37740,33400,30000,40000,152647,122135,36390,32580,29390,38520,152647,122135,640,0,0,50,152647,122135,700,0,0,0,152647,122135,660,0,0,260,152647,122135,39.8,39,29,49,152647,122135,29.9,37.5,23.1,37.5,152647,122135
A,"Agriculture, forestry and fishing",2017,47.73298429319372,258.89872155492145,0.7905759162303665,0.14659685863874344,0,0.23036649214659685,0.16230366492146597,0.387434554973822,0.02617801047120419,0.13612565445026178,0.05759162303664921,0,0,0.0418848167539267,0.1099476439790576,0.16230366492146597,0.21465968586387435,0.2617801047120419,0.18324607329842932,0.02617801047120419,1,0,0,0,0.06806282722513089,0.4083769633507853,0.45549738219895286,0.04712041884816754,0,0.02094240837696335,0,0,0.15706806282722513,0.08900523560209424,0.193717277486911,0.4607329842931937,0.01570680628272251,0,0,0,0,0.00523560209424083,0,0.01570680628272251,0,0.02617801047120419,0,0,0.00523560209424083,0,0.00523560209424083,0.05235602094240838,0,0.01047120418848167,0,0,0.01047120418848167,0,0,0,0.02094240837696335,0.00523560209424083,0,0,0.518324607329843,0.2670157068062827,0.00523560209424083,0.00523560209424083,0,0,0.00523560209424083,0.00523560209424083,0,0.02617801047120419,0,0.01047120418848167,0,0,0,0,191,All occupations,Sum all sectors,Both sexes,All employees,37090,32790,25980,43290,33103,23201,35130,32470,25980,40000,33103,23201,690,0,0,0,33103,23201,1270,0,0,0,33103,23201,900,0,0,0,33103,23201,38.6,37,27,49,33103,23201,26.3,37.5,11.3,37.5,33103,23201
R,"Arts, entertainment and recreation",2017,38.2710843373494,317.8982188621084,0.4879518072289157,0.25301204819277107,0,0.21686746987951808,0.04216867469879518,0.28313253012048195,0.0180722891566265,0.29518072289156627,0.14457831325301204,0,0,0.13253012048192772,0.2289156626506024,0.2289156626506024,0.1686746987951807,0.13855421686746988,0.0963855421686747,0.00602409638554216,0.7349397590361446,0.1746987951807229,0.0180722891566265,0.06024096385542168,0.1566265060240964,0.6807228915662651,0.13855421686746988,0.02409638554216867,0,0,0,0,0.1746987951807229,0.06024096385542168,0.30120481927710846,0.7409638554216867,0.0963855421686747,0,0,0,0,0.00602409638554216,0.04216867469879518,0.01204819277108433,0.06626506024096386,0.00602409638554216,0.00602409638554216,0.0180722891566265,0.04216867469879518,0,0.26506024096385544,0.01204819277108433,0.00602409638554216,0.02409638554216867,0.24096385542168677,0,0.00602409638554216,0.06024096385542168,0,0.00602409638554216,0.06024096385542168,0.0180722891566265,0.00602409638554216,0.03012048192771084,0.01204819277108433,0,0,0.00602409638554216,0,0.00602409638554216,0,0,0,0.01204819277108433,0.02409638554216867,0,0,0.00602409638554216,0,0,166,All occupations,Sum all sectors,Both sexes,All employees,38810,37400,29880,44820,51808,30631,38120,36860,29230,44160,51808,30631,360,0,0,0,51808,30631,330,0,0,0,51808,30631,160,0,0,0,51808,30631,39.7,39,28,51,51808,30631,22.1,22.8,5.6,37.5,51808,30631
F,Construction,2017,41.80218281036835,284.9941397618281,0.9140518417462484,0.29195088676671216,0,0.18281036834924969,0.0572987721691678,0.5443383356070941,0.0791268758526603,0.10368349249658936,0.03137789904502047,0,0.00136425648021828,0.03819918144611187,0.21828103683492495,0.22510231923601637,0.22237380627557984,0.20600272851296045,0.08321964529331514,0.0068212824010914,0.9577080491132332,0.02455661664392906,0,0.01091405184174624,0.1077762619372442,0.7748976807639836,0.10231923601637108,0.01500682128240109,0,0,0,0,0.2946793997271487,0.08867667121418826,0.4051841746248295,0.8553888130968622,0.02592087312414734,0.00272851296043656,0,0,0,0.00409276944065484,0.01227830832196453,0.06957708049113233,0.00272851296043656,0.03683492496589358,0,0,0.0068212824010914,0,0,0.07366984993178717,0.01637107776261937,0.02182810368349249,0,0,0.01500682128240109,0,0.01909959072305593,0,0.01091405184174624,0.00818553888130968,0,0.00136425648021828,0.0068212824010914,0,0.3806275579809004,0.02728512960436562,0,0.1296043656207367,0.00954979536152796,0,0,0.11323328785811732,0.00545702592087312,0.00136425648021828,0.02046384720327421,0,0.00136425648021828,0.00272851296043656,733,All occupations,Sum all sectors,Both sexes,All employees,42240,39280,33230,46890,227312,210859,40510,37830,32480,44790,227312,210859,940,0,0,1020,227312,210859,790,0,0,0,227312,210859,1010,0,0,680,227312,210859,39.5,39,29,50,227312,210859,34.8,37.5,37.5,37.5,227312,210859
