date,sex,industry_sic2007,year,employees_covered_by_the_survey,lower_quartile_nok,median_nok,mean_nok,upper_quartile_nok,parentname
2008-12-31,Both sexes,"Agriculture, forestry and fishing",2008,2259,27000,31200,33900,38100,"Agriculture, forestry and fishing"
2009-12-31,Both sexes,"Agriculture, forestry and fishing",2009,2345,27800,31800,34900,39600,"Agriculture, forestry and fishing"
2010-12-31,Both sexes,"Agriculture, forestry and fishing",2010,2838,28500,33100,35900,39700,"Agriculture, forestry and fishing"
2011-12-31,Both sexes,"Agriculture, forestry and fishing",2011,3308,29500,34700,37600,41600,"Agriculture, forestry and fishing"
2012-12-31,Both sexes,"Agriculture, forestry and fishing",2012,3269,31100,35900,38400,43100,"Agriculture, forestry and fishing"
2013-12-31,Both sexes,"Agriculture, forestry and fishing",2013,3255,31800,37100,39700,44100,"Agriculture, forestry and fishing"
2014-12-31,Both sexes,"Agriculture, forestry and fishing",2014,3537,33400,39500,41900,46000,"Agriculture, forestry and fishing"
2015-12-31,Both sexes,"Agriculture, forestry and fishing",2015,3531,35300,41000,43100,48000,"Agriculture, forestry and fishing"
2008-12-31,Males,"Agriculture, forestry and fishing",2008,1913,27500,31500,34200,38600,"Agriculture, forestry and fishing"
2009-12-31,Males,"Agriculture, forestry and fishing",2009,2051,28300,32000,35200,40000,"Agriculture, forestry and fishing"
2010-12-31,Males,"Agriculture, forestry and fishing",2010,2440,28900,33300,36100,40000,"Agriculture, forestry and fishing"
2011-12-31,Males,"Agriculture, forestry and fishing",2011,2812,30000,34900,38100,42000,"Agriculture, forestry and fishing"
2012-12-31,Males,"Agriculture, forestry and fishing",2012,2824,31400,35900,38400,42900,"Agriculture, forestry and fishing"
2013-12-31,Males,"Agriculture, forestry and fishing",2013,2841,32100,37300,39900,44200,"Agriculture, forestry and fishing"
2014-12-31,Males,"Agriculture, forestry and fishing",2014,3053,33800,39600,42100,46000,"Agriculture, forestry and fishing"
2015-12-31,Males,"Agriculture, forestry and fishing",2015,3142,35700,41200,43400,47900,"Agriculture, forestry and fishing"
2008-12-31,Females,"Agriculture, forestry and fishing",2008,346,25400,28500,31900,35300,"Agriculture, forestry and fishing"
2009-12-31,Females,"Agriculture, forestry and fishing",2009,294,25100,29600,33100,36400,"Agriculture, forestry and fishing"
2010-12-31,Females,"Agriculture, forestry and fishing",2010,398,26500,31300,34500,37900,"Agriculture, forestry and fishing"
2011-12-31,Females,"Agriculture, forestry and fishing",2011,496,27000,31700,35400,40000,"Agriculture, forestry and fishing"
2012-12-31,Females,"Agriculture, forestry and fishing",2012,445,28400,35900,38300,44600,"Agriculture, forestry and fishing"
2013-12-31,Females,"Agriculture, forestry and fishing",2013,414,29300,35300,38600,43500,"Agriculture, forestry and fishing"
2014-12-31,Females,"Agriculture, forestry and fishing",2014,484,31000,37900,40800,46000,"Agriculture, forestry and fishing"
2015-12-31,Females,"Agriculture, forestry and fishing",2015,389,31700,38600,41100,48300,"Agriculture, forestry and fishing"
2008-12-31,Both sexes,Mining and quarrying,2008,33991,38200,47000,52200,60200,Mining and quarrying
2009-12-31,Both sexes,Mining and quarrying,2009,35452,40700,51000,56600,66700,Mining and quarrying
2010-12-31,Both sexes,Mining and quarrying,2010,43255,40000,50800,56000,66400,Mining and quarrying
2011-12-31,Both sexes,Mining and quarrying,2011,46392,42000,52900,58800,69300,Mining and quarrying
2012-12-31,Both sexes,Mining and quarrying,2012,51189,42000,53500,60200,70200,Mining and quarrying
2013-12-31,Both sexes,Mining and quarrying,2013,54163,45200,57100,63800,73800,Mining and quarrying
2014-12-31,Both sexes,Mining and quarrying,2014,55498,47000,58900,65400,74800,Mining and quarrying
2015-12-31,Both sexes,Mining and quarrying,2015,54165,47600,59000,66800,77900,Mining and quarrying
2008-12-31,Males,Mining and quarrying,2008,27555,39100,47800,53200,61300,Mining and quarrying
2009-12-31,Males,Mining and quarrying,2009,28570,41400,51900,57600,67700,Mining and quarrying
2010-12-31,Males,Mining and quarrying,2010,35038,40400,51600,56900,67400,Mining and quarrying
2011-12-31,Males,Mining and quarrying,2011,37372,42300,53600,59600,70300,Mining and quarrying
2012-12-31,Males,Mining and quarrying,2012,41161,42100,54200,61000,71200,Mining and quarrying
2013-12-31,Males,Mining and quarrying,2013,43607,45600,57900,64600,74700,Mining and quarrying
2014-12-31,Males,Mining and quarrying,2014,44672,47800,59800,66400,75800,Mining and quarrying
2015-12-31,Males,Mining and quarrying,2015,44012,47800,59500,67400,78500,Mining and quarrying
2008-12-31,Females,Mining and quarrying,2008,6436,35500,43200,47700,55300,Mining and quarrying
2009-12-31,Females,Mining and quarrying,2009,6882,38300,47400,52400,62100,Mining and quarrying
2010-12-31,Females,Mining and quarrying,2010,8217,38600,47400,52400,61700,Mining and quarrying
2011-12-31,Females,Mining and quarrying,2011,9020,40800,49900,55600,65300,Mining and quarrying
2012-12-31,Females,Mining and quarrying,2012,10028,41600,50600,57200,66300,Mining and quarrying
2013-12-31,Females,Mining and quarrying,2013,10556,44200,54100,60800,70300,Mining and quarrying
2014-12-31,Females,Mining and quarrying,2014,10826,44900,54800,61200,70800,Mining and quarrying
2015-12-31,Females,Mining and quarrying,2015,10153,47100,56800,64200,75800,Mining and quarrying
2008-12-31,Both sexes,Manufacturing,2008,139955,26100,30500,34200,37700,Manufacturing
2009-12-31,Both sexes,Manufacturing,2009,139529,26900,31500,35600,39600,Manufacturing
2010-12-31,Both sexes,Manufacturing,2010,129318,27900,32400,36700,40500,Manufacturing
2011-12-31,Both sexes,Manufacturing,2011,129200,29100,34100,38500,42700,Manufacturing
2012-12-31,Both sexes,Manufacturing,2012,132267,30200,35300,39800,44400,Manufacturing
2013-12-31,Both sexes,Manufacturing,2013,133771,31300,36800,41400,46200,Manufacturing
2014-12-31,Both sexes,Manufacturing,2014,133071,32300,37900,42500,47600,Manufacturing
2015-12-31,Both sexes,Manufacturing,2015,132758,33000,39000,43600,49200,Manufacturing
2008-12-31,Males,Manufacturing,2008,112694,26800,31100,34900,38500,Manufacturing
2009-12-31,Males,Manufacturing,2009,111916,27400,32100,36400,40500,Manufacturing
2010-12-31,Males,Manufacturing,2010,103093,28500,33000,37400,41400,Manufacturing
2011-12-31,Males,Manufacturing,2011,103178,29600,34700,39200,43700,Manufacturing
2012-12-31,Males,Manufacturing,2012,104825,30700,35900,40500,45300,Manufacturing
2013-12-31,Males,Manufacturing,2013,105709,31800,37300,42000,47000,Manufacturing
2014-12-31,Males,Manufacturing,2014,104833,32800,38400,43300,48500,Manufacturing
2015-12-31,Males,Manufacturing,2015,104459,33400,39600,44300,50000,Manufacturing
2008-12-31,Females,Manufacturing,2008,27261,24200,28000,30900,34300,Manufacturing
2009-12-31,Females,Manufacturing,2009,27613,25000,29200,32400,36000,Manufacturing
2010-12-31,Females,Manufacturing,2010,26225,26000,30000,33500,36800,Manufacturing
2011-12-31,Females,Manufacturing,2011,26022,27400,32000,35300,39100,Manufacturing
2012-12-31,Females,Manufacturing,2012,27442,28300,33100,36700,40700,Manufacturing
2013-12-31,Females,Manufacturing,2013,28062,29500,35000,38500,43000,Manufacturing
2014-12-31,Females,Manufacturing,2014,28238,30200,35800,39500,44200,Manufacturing
2015-12-31,Females,Manufacturing,2015,28299,31200,36900,40600,45600,Manufacturing
2008-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2008,10048,31700,36200,40700,45500,"Electricity, gas, steam and air conditioning supply"
2009-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2009,10798,32800,37500,42600,48300,"Electricity, gas, steam and air conditioning supply"
2010-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2010,10015,34000,38500,44100,49800,"Electricity, gas, steam and air conditioning supply"
2011-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2011,9632,36100,40900,46000,51800,"Electricity, gas, steam and air conditioning supply"
2012-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2012,10153,36800,41700,46800,53000,"Electricity, gas, steam and air conditioning supply"
2013-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2013,9817,38900,44000,49900,56600,"Electricity, gas, steam and air conditioning supply"
2014-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2014,9987,39900,45700,51600,59100,"Electricity, gas, steam and air conditioning supply"
2015-12-31,Both sexes,"Electricity, gas, steam and air conditioning supply",2015,10064,41300,47900,53200,61900,"Electricity, gas, steam and air conditioning supply"
2008-12-31,Males,"Electricity, gas, steam and air conditioning supply",2008,8204,32200,36700,41300,46000,"Electricity, gas, steam and air conditioning supply"
2009-12-31,Males,"Electricity, gas, steam and air conditioning supply",2009,8737,33300,38100,43400,48800,"Electricity, gas, steam and air conditioning supply"
2010-12-31,Males,"Electricity, gas, steam and air conditioning supply",2010,8172,34500,38900,44700,50300,"Electricity, gas, steam and air conditioning supply"
2011-12-31,Males,"Electricity, gas, steam and air conditioning supply",2011,7857,36500,41300,46500,52100,"Electricity, gas, steam and air conditioning supply"
2012-12-31,Males,"Electricity, gas, steam and air conditioning supply",2012,8250,37400,42000,47400,53400,"Electricity, gas, steam and air conditioning supply"
2013-12-31,Males,"Electricity, gas, steam and air conditioning supply",2013,7939,39400,44400,50300,56900,"Electricity, gas, steam and air conditioning supply"
2014-12-31,Males,"Electricity, gas, steam and air conditioning supply",2014,7926,40500,46100,52100,59400,"Electricity, gas, steam and air conditioning supply"
2015-12-31,Males,"Electricity, gas, steam and air conditioning supply",2015,7905,42100,48400,53700,62300,"Electricity, gas, steam and air conditioning supply"
2008-12-31,Females,"Electricity, gas, steam and air conditioning supply",2008,1844,29800,33500,38000,42800,"Electricity, gas, steam and air conditioning supply"
2009-12-31,Females,"Electricity, gas, steam and air conditioning supply",2009,2061,30600,35000,39600,45800,"Electricity, gas, steam and air conditioning supply"
2010-12-31,Females,"Electricity, gas, steam and air conditioning supply",2010,1843,31800,36600,41400,47700,"Electricity, gas, steam and air conditioning supply"
2011-12-31,Females,"Electricity, gas, steam and air conditioning supply",2011,1775,33900,38500,43800,50000,"Electricity, gas, steam and air conditioning supply"
2012-12-31,Females,"Electricity, gas, steam and air conditioning supply",2012,1903,34500,39300,44500,51000,"Electricity, gas, steam and air conditioning supply"
2013-12-31,Females,"Electricity, gas, steam and air conditioning supply",2013,1878,36600,41900,48000,55200,"Electricity, gas, steam and air conditioning supply"
2014-12-31,Females,"Electricity, gas, steam and air conditioning supply",2014,2061,37200,43600,49700,57300,"Electricity, gas, steam and air conditioning supply"
2015-12-31,Females,"Electricity, gas, steam and air conditioning supply",2015,2159,38200,45300,51400,60500,"Electricity, gas, steam and air conditioning supply"
2008-12-31,Both sexes,"Water supply, sewerage, waste",2008,8163,26300,29100,31900,34100,"Water supply; sewerage, waste management and remediation activities"
2009-12-31,Both sexes,"Water supply, sewerage, waste",2009,7614,27100,30000,33100,35400,"Water supply; sewerage, waste management and remediation activities"
2010-12-31,Both sexes,"Water supply, sewerage, waste",2010,8264,28200,31200,34300,37200,"Water supply; sewerage, waste management and remediation activities"
2011-12-31,Both sexes,"Water supply, sewerage, waste",2011,8757,29200,32300,35700,38600,"Water supply; sewerage, waste management and remediation activities"
2012-12-31,Both sexes,"Water supply, sewerage, waste",2012,9017,30200,33700,37300,40400,"Water supply; sewerage, waste management and remediation activities"
2013-12-31,Both sexes,"Water supply, sewerage, waste",2013,8966,31000,34700,38400,41700,"Water supply; sewerage, waste management and remediation activities"
2014-12-31,Both sexes,"Water supply, sewerage, waste",2014,9658,31800,35500,39000,42800,"Water supply; sewerage, waste management and remediation activities"
2015-12-31,Both sexes,"Water supply, sewerage, waste",2015,9643,32200,36400,39800,43900,"Water supply; sewerage, waste management and remediation activities"
2008-12-31,Males,"Water supply, sewerage, waste",2008,7003,26200,28900,31800,33500,"Water supply; sewerage, waste management and remediation activities"
2009-12-31,Males,"Water supply, sewerage, waste",2009,6486,27000,29800,32900,34700,"Water supply; sewerage, waste management and remediation activities"
2010-12-31,Males,"Water supply, sewerage, waste",2010,7065,28100,30900,34000,36400,"Water supply; sewerage, waste management and remediation activities"
2011-12-31,Males,"Water supply, sewerage, waste",2011,7447,29000,32000,35500,38000,"Water supply; sewerage, waste management and remediation activities"
2012-12-31,Males,"Water supply, sewerage, waste",2012,7677,30000,33300,36900,39500,"Water supply; sewerage, waste management and remediation activities"
2013-12-31,Males,"Water supply, sewerage, waste",2013,7614,30800,34300,38000,40900,"Water supply; sewerage, waste management and remediation activities"
2014-12-31,Males,"Water supply, sewerage, waste",2014,8060,31700,35100,38600,42000,"Water supply; sewerage, waste management and remediation activities"
2015-12-31,Males,"Water supply, sewerage, waste",2015,8074,32000,35900,39400,43100,"Water supply; sewerage, waste management and remediation activities"
2008-12-31,Females,"Water supply, sewerage, waste",2008,1160,27100,30400,33100,36800,"Water supply; sewerage, waste management and remediation activities"
2009-12-31,Females,"Water supply, sewerage, waste",2009,1128,28200,31700,34300,37300,"Water supply; sewerage, waste management and remediation activities"
2010-12-31,Females,"Water supply, sewerage, waste",2010,1199,29700,33200,35800,39900,"Water supply; sewerage, waste management and remediation activities"
2011-12-31,Females,"Water supply, sewerage, waste",2011,1310,30500,34500,37400,41700,"Water supply; sewerage, waste management and remediation activities"
2012-12-31,Females,"Water supply, sewerage, waste",2012,1340,32300,36700,39800,45000,"Water supply; sewerage, waste management and remediation activities"
2013-12-31,Females,"Water supply, sewerage, waste",2013,1352,32600,37400,40400,45700,"Water supply; sewerage, waste management and remediation activities"
2014-12-31,Females,"Water supply, sewerage, waste",2014,1598,33400,38400,41500,47100,"Water supply; sewerage, waste management and remediation activities"
2015-12-31,Females,"Water supply, sewerage, waste",2015,1569,34100,38700,41800,47700,"Water supply; sewerage, waste management and remediation activities"
2008-12-31,Both sexes,Construction,2008,59435,27600,31300,33200,36400,Construction
2009-12-31,Both sexes,Construction,2009,60966,28400,32100,34100,37200,Construction
2010-12-31,Both sexes,Construction,2010,66763,28900,32800,34900,38000,Construction
2011-12-31,Both sexes,Construction,2011,70099,29700,34100,36100,39600,Construction
2012-12-31,Both sexes,Construction,2012,73215,30600,34900,37200,40800,Construction
2013-12-31,Both sexes,Construction,2013,73942,31200,36000,38400,42300,Construction
2014-12-31,Both sexes,Construction,2014,78135,31900,37100,39500,43700,Construction
2015-12-31,Both sexes,Construction,2015,77533,32100,38200,40700,45800,Construction
2008-12-31,Males,Construction,2008,55334,27600,31300,33200,36500,Construction
2009-12-31,Males,Construction,2009,56892,28400,32200,34100,37200,Construction
2010-12-31,Males,Construction,2010,62148,29000,32800,34900,37900,Construction
2011-12-31,Males,Construction,2011,65181,29700,34100,36000,39500,Construction
2012-12-31,Males,Construction,2012,67902,30500,34900,37100,40700,Construction
2013-12-31,Males,Construction,2013,68585,31200,36000,38300,42200,Construction
2014-12-31,Males,Construction,2014,72327,31900,37000,39400,43500,Construction
2015-12-31,Males,Construction,2015,71465,32000,38100,40600,45600,Construction
2008-12-31,Females,Construction,2008,4101,27000,30500,32900,36200,Construction
2009-12-31,Females,Construction,2009,4074,27300,31500,33700,37500,Construction
2010-12-31,Females,Construction,2010,4615,28400,32600,35400,39400,Construction
2011-12-31,Females,Construction,2011,4918,30000,34500,37000,41100,Construction
2012-12-31,Females,Construction,2012,5313,30700,36000,38000,42800,Construction
2013-12-31,Females,Construction,2013,5357,31600,37100,39600,44500,Construction
2014-12-31,Females,Construction,2014,5808,32300,38000,40500,45800,Construction
2015-12-31,Females,Construction,2015,6068,33400,40000,42300,48000,Construction
2008-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2008,93870,25000,29700,33200,37000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2009-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2009,99607,25500,30100,33900,37600,Wholesale and retail trade; repair of motor vehicles and motorcycles
2010-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2010,101454,26300,31000,35100,38800,Wholesale and retail trade; repair of motor vehicles and motorcycles
2011-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2011,100088,27100,32100,36200,40000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2012-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2012,102323,28100,33200,37400,41700,Wholesale and retail trade; repair of motor vehicles and motorcycles
2013-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2013,106240,29100,34400,38700,43000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2014-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2014,107630,29800,35100,39300,43800,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2015,103843,30800,36500,40600,45500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2008-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2008,59353,26300,31100,35000,39200,Wholesale and retail trade; repair of motor vehicles and motorcycles
2009-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2009,63271,26600,31700,35800,40000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2010-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2010,63833,27500,32500,36900,40900,Wholesale and retail trade; repair of motor vehicles and motorcycles
2011-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2011,62333,28400,33600,38200,42100,Wholesale and retail trade; repair of motor vehicles and motorcycles
2012-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2012,63377,29300,35000,39500,44300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2013-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2013,66187,30100,36000,40800,45500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2014-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2014,66433,30900,36900,41400,46400,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2015,64995,32200,38400,43000,48300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2008-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2008,34517,23600,26800,29400,32300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2009-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2009,36336,24300,27400,30100,33300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2010-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2010,37621,25100,28400,31300,34500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2011-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2011,37755,25900,29400,32600,35900,Wholesale and retail trade; repair of motor vehicles and motorcycles
2012-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2012,38946,27000,30300,33400,37000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2013-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2013,40053,27600,31500,34800,38500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2014-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2014,41197,28200,32100,35300,39300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2015,38848,28800,33300,36400,40500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2008-12-31,Both sexes,Transportation and storage,2008,66258,26200,30400,34300,38200,Transportation and storage
2009-12-31,Both sexes,Transportation and storage,2009,67218,26800,30800,35500,39600,Transportation and storage
2010-12-31,Both sexes,Transportation and storage,2010,67107,28000,32200,36700,41400,Transportation and storage
2011-12-31,Both sexes,Transportation and storage,2011,65985,28700,33100,38000,42800,Transportation and storage
2012-12-31,Both sexes,Transportation and storage,2012,67925,29800,34300,39300,44400,Transportation and storage
2013-12-31,Both sexes,Transportation and storage,2013,70188,30500,35300,40600,47000,Transportation and storage
2014-12-31,Both sexes,Transportation and storage,2014,70325,31500,36400,41900,48100,Transportation and storage
2015-12-31,Both sexes,Transportation and storage,2015,69657,32600,37800,43400,50400,Transportation and storage
2008-12-31,Males,Transportation and storage,2008,50955,26200,31000,35000,39300,Transportation and storage
2009-12-31,Males,Transportation and storage,2009,52107,26800,31300,36200,40900,Transportation and storage
2010-12-31,Males,Transportation and storage,2010,52250,28000,32800,37400,42600,Transportation and storage
2011-12-31,Males,Transportation and storage,2011,51099,28600,33700,38700,44000,Transportation and storage
2012-12-31,Males,Transportation and storage,2012,52647,29600,34700,40000,45600,Transportation and storage
2013-12-31,Males,Transportation and storage,2013,55064,30400,35800,41400,48600,Transportation and storage
2014-12-31,Males,Transportation and storage,2014,55863,31400,36800,42600,49700,Transportation and storage
2015-12-31,Males,Transportation and storage,2015,55499,32600,38100,44000,51700,Transportation and storage
2008-12-31,Females,Transportation and storage,2008,15303,26200,28700,31300,34400,Transportation and storage
2009-12-31,Females,Transportation and storage,2009,15111,26900,29500,32400,35400,Transportation and storage
2010-12-31,Females,Transportation and storage,2010,14857,27800,30300,33500,36600,Transportation and storage
2011-12-31,Females,Transportation and storage,2011,14886,28900,31700,35000,38200,Transportation and storage
2012-12-31,Females,Transportation and storage,2012,15278,30000,33100,36500,40100,Transportation and storage
2013-12-31,Females,Transportation and storage,2013,15124,30800,34100,37200,41000,Transportation and storage
2014-12-31,Females,Transportation and storage,2014,14462,31900,35500,38900,43000,Transportation and storage
2015-12-31,Females,Transportation and storage,2015,14158,32800,36800,40400,45200,Transportation and storage
2008-12-31,Both sexes,Accommodation and food service activities,2008,13278,21700,25000,27300,30200,Accommodation and food service activities
2009-12-31,Both sexes,Accommodation and food service activities,2009,14333,22600,25700,28100,31400,Accommodation and food service activities
2010-12-31,Both sexes,Accommodation and food service activities,2010,14950,23100,26400,29000,32500,Accommodation and food service activities
2011-12-31,Both sexes,Accommodation and food service activities,2011,15894,23800,27000,29700,33500,Accommodation and food service activities
2012-12-31,Both sexes,Accommodation and food service activities,2012,17259,24200,27800,30500,34900,Accommodation and food service activities
2013-12-31,Both sexes,Accommodation and food service activities,2013,18279,24700,28200,31200,35000,Accommodation and food service activities
2014-12-31,Both sexes,Accommodation and food service activities,2014,20404,25100,28900,31800,35300,Accommodation and food service activities
2015-12-31,Both sexes,Accommodation and food service activities,2015,22338,25000,29300,32400,35800,Accommodation and food service activities
2008-12-31,Males,Accommodation and food service activities,2008,6376,22100,25900,28600,32000,Accommodation and food service activities
2009-12-31,Males,Accommodation and food service activities,2009,7129,22900,26600,29200,33000,Accommodation and food service activities
2010-12-31,Males,Accommodation and food service activities,2010,7425,23600,27500,30400,35000,Accommodation and food service activities
2011-12-31,Males,Accommodation and food service activities,2011,7887,24200,28000,31000,35000,Accommodation and food service activities
2012-12-31,Males,Accommodation and food service activities,2012,8624,24500,28600,31500,35500,Accommodation and food service activities
2013-12-31,Males,Accommodation and food service activities,2013,9062,25000,29200,32400,37000,Accommodation and food service activities
2014-12-31,Males,Accommodation and food service activities,2014,10227,25500,29800,32900,37100,Accommodation and food service activities
2015-12-31,Males,Accommodation and food service activities,2015,11014,25700,30000,33900,38000,Accommodation and food service activities
2008-12-31,Females,Accommodation and food service activities,2008,6902,21400,24100,26100,29100,Accommodation and food service activities
2009-12-31,Females,Accommodation and food service activities,2009,7204,22300,25000,27000,30000,Accommodation and food service activities
2010-12-31,Females,Accommodation and food service activities,2010,7525,22700,25400,27600,30400,Accommodation and food service activities
2011-12-31,Females,Accommodation and food service activities,2011,8007,23500,26200,28400,31800,Accommodation and food service activities
2012-12-31,Females,Accommodation and food service activities,2012,8635,23900,27000,29300,32800,Accommodation and food service activities
2013-12-31,Females,Accommodation and food service activities,2013,9217,24400,27600,30000,33300,Accommodation and food service activities
2014-12-31,Females,Accommodation and food service activities,2014,10177,25000,28200,30800,34300,Accommodation and food service activities
2015-12-31,Females,Accommodation and food service activities,2015,11324,24600,28600,30800,34300,Accommodation and food service activities
2008-12-31,Both sexes,Information and communication,2008,43974,32700,40000,43800,50400,Information and communication
2009-12-31,Both sexes,Information and communication,2009,46187,33500,41000,45000,52000,Information and communication
2010-12-31,Both sexes,Information and communication,2010,48413,35000,42900,47100,54200,Information and communication
2011-12-31,Both sexes,Information and communication,2011,46962,36300,44900,49500,57100,Information and communication
2012-12-31,Both sexes,Information and communication,2012,49959,37500,45900,50700,58300,Information and communication
2013-12-31,Both sexes,Information and communication,2013,49009,39200,48300,52800,60900,Information and communication
2014-12-31,Both sexes,Information and communication,2014,51604,40100,49800,54100,62600,Information and communication
2015-12-31,Both sexes,Information and communication,2015,49389,41100,50900,55700,64300,Information and communication
2008-12-31,Males,Information and communication,2008,30360,34600,42200,46200,53300,Information and communication
